Date,Covid cases,Oil,Bitcoin,S&P500,Gold
11/8/16,0,44.98,709.85,2139.56,1273.4
11/9/16,0,45.27,723.27,2163.26,1272.6
11/10/16,0,44.66,715.53,2167.48,1265.5
11/11/16,0,#N/A,716.41,2164.45,#N/A
11/12/16,0,#N/A,705.05,2164.45,#N/A
11/13/16,0,#N/A,702.03,2164.45,#N/A
11/14/16,0,43.32,705.02,2164.2,1221.2
11/15/16,0,45.81,711.62,2180.39,1224
11/16/16,0,45.57,744.2,2176.94,1223.4
11/17/16,0,45.42,740.98,2187.12,1216.5
11/18/16,0,45.69,751.59,2181.9,1208.5
11/19/16,0,#N/A,751.62,2181.9,#N/A
11/20/16,0,#N/A,731.03,2181.9,#N/A
11/21/16,0,47.49,739.25,2198.18,1209.6
11/22/16,0,48.03,751.35,2202.94,1211
11/23/16,0,47.96,744.59,2204.72,1189.1
11/24/16,0,#N/A,740.29,2204.72,#N/A
11/25/16,0,46.06,741.65,2213.35,1178.2
11/26/16,0,#N/A,735.38,2213.35,#N/A
11/27/16,0,#N/A,732.03,2213.35,#N/A
11/28/16,0,47.08,735.81,2201.72,1190.6
11/29/16,0,45.23,735.6,2204.66,1187.9
11/30/16,0,49.44,745.69,2198.81,1170.8
12/1/16,0,51.06,756.77,2191.08,1166.9
12/2/16,0,51.68,777.94,2191.95,1175.1
12/3/16,0,#N/A,771.16,2192.82,#N/A
12/4/16,0,#N/A,773.87,2193.69,#N/A
12/5/16,0,51.79,758.7,2204.71,1174
12/6/16,0,50.93,764.22,2212.23,1167.6
12/7/16,0,49.77,768.13,2241.35,1175
12/8/16,0,50.84,770.81,2246.19,1169.8
12/9/16,0,51.5,772.79,2259.53,1159.4
12/10/16,0,#N/A,774.65,2259.53,#N/A
12/11/16,0,#N/A,769.73,2259.53,#N/A
12/12/16,0,52.83,780.09,2256.96,1163.5
12/13/16,0,52.98,780.56,2271.72,1156.7
12/14/16,0,51.04,781.48,2253.28,1161.3
12/15/16,0,50.9,778.09,2262.03,1127.8
12/16/16,0,51.9,784.91,2258.07,1135.3
12/17/16,0,#N/A,790.83,#N/A,#N/A
12/18/16,0,#N/A,790.53,#N/A,#N/A
12/19/16,0,52.12,792.71,2262.53,1140.5
12/20/16,0,52.23,800.88,2270.76,1131.5
12/21/16,0,52.49,834.28,2265.18,1131.1
12/22/16,0,52.95,864.54,2260.96,1128.8
12/23/16,0,53.02,921.98,2263.79,1131.9
12/24/16,0,#N/A,898.82,#N/A,#N/A
12/25/16,0,#N/A,896.18,#N/A,#N/A
12/26/16,0,#N/A,907.61,#N/A,#N/A
12/27/16,0,53.9,933.2,2268.88,1137.3
12/28/16,0,54.06,975.92,2249.92,1139.4
12/29/16,0,53.77,973.5,2249.26,1156.4
12/30/16,0,53.72,961.24,2238.83,1150
12/31/16,0,#N/A,963.74,#N/A,#N/A
1/1/17,0,#N/A,998.33,#N/A,#N/A
1/2/17,0,#N/A,1021.75,#N/A,#N/A
1/3/17,0,52.33,1043.84,2257.83,1160.4
1/4/17,0,53.26,1154.73,2270.75,1163.8
1/5/17,0,53.76,1013.38,2269,1179.7
1/6/17,0,53.99,902.2,2276.98,1171.9
1/7/17,0,#N/A,908.59,#N/A,#N/A
1/8/17,0,#N/A,911.2,#N/A,#N/A
1/9/17,0,51.96,902.83,2268.9,1183.5
1/10/17,0,50.82,907.68,2268.9,1184.2
1/11/17,0,52.25,777.76,2275.32,1195.6
1/12/17,0,53.01,804.83,2270.44,1198.9
1/13/17,0,52.37,823.98,2274.64,1195.3
1/14/17,0,#N/A,818.41,#N/A,#N/A
1/15/17,0,#N/A,821.8,#N/A,#N/A
1/16/17,0,#N/A,831.53,#N/A,#N/A
1/17/17,0,52.48,907.94,2267.89,1212
1/18/17,0,51.08,886.62,2271.89,1211.3
1/19/17,0,51.37,899.07,2263.69,1200.9
1/20/17,0,52.42,895.03,2271.31,1204.3
1/21/17,0,#N/A,921.79,#N/A,#N/A
1/22/17,0,#N/A,924.67,#N/A,#N/A
1/23/17,0,52.75,921.01,2265.2,1215
1/24/17,0,53.18,892.69,2280.07,1210.3
1/25/17,0,52.75,901.54,2298.37,1197.3
1/26/17,0,53.78,917.59,2296.68,1189.5
1/27/17,0,53.17,919.75,2294.69,1188.1
1/28/17,0,#N/A,921.59,#N/A,#N/A
1/29/17,0,#N/A,919.5,#N/A,#N/A
1/30/17,0,52.63,920.38,2280.9,1193.2
1/31/17,0,52.81,970.4,2278.87,1208.6
2/1/17,0,53.88,989.02,2279.55,1205.6
2/2/17,0,53.54,1011.8,2280.85,1216.7
2/3/17,0,53.83,1029.91,2297.42,1218.5
2/4/17,0,#N/A,1042.9,#N/A,#N/A
2/5/17,0,#N/A,1027.34,#N/A,#N/A
2/6/17,0,53.01,1038.15,2292.56,1230
2/7/17,0,52.17,1061.35,2293.08,1234.2
2/8/17,0,52.34,1063.07,2294.67,1237.6
2/9/17,0,53,994.38,2307.87,1235.1
2/10/17,0,53.86,988.67,2316.1,1234.4
2/11/17,0,#N/A,1004.45,#N/A,#N/A
2/12/17,0,#N/A,999.18,#N/A,#N/A
2/13/17,0,52.93,990.64,2328.25,1224.4
2/14/17,0,53.2,1004.55,2337.58,1223.9
2/15/17,0,53.11,1007.48,2349.25,1231.7
2/16/17,0,53.36,1027.44,2347.22,1240
2/17/17,0,53.4,1046.21,2351.16,1237.6
2/18/17,0,#N/A,1054.42,#N/A,#N/A
2/19/17,0,#N/A,1047.87,#N/A,#N/A
2/20/17,0,#N/A,1079.98,#N/A,#N/A
2/21/17,0,54.06,1115.3,2365.38,1237.5
2/22/17,0,53.59,1117.44,2362.82,1232
2/23/17,0,54.45,1166.72,2363.81,1250.2
2/24/17,0,53.99,1173.68,2367.34,1256.9
2/25/17,0,#N/A,1143.84,#N/A,#N/A
2/26/17,0,#N/A,1165.2,#N/A,#N/A
2/27/17,0,54.05,1179.97,2369.75,1257.4
2/28/17,0,54.01,1179.97,2363.64,1252.6
3/1/17,0,53.83,1222.5,2395.96,1248.9
3/2/17,0,52.61,1251.01,2381.92,1231.9
3/3/17,0,53.33,1274.99,2383.12,1225.5
3/4/17,0,#N/A,1255.15,#N/A,#N/A
3/5/17,0,#N/A,1267.12,#N/A,#N/A
3/6/17,0,53.2,1272.83,2375.31,1224.5
3/7/17,0,53.14,1223.54,2368.39,1215.1
3/8/17,0,50.28,1150,2362.98,1208.5
3/9/17,0,49.28,1188.49,2364.87,1202.4
3/10/17,0,48.49,1116.72,2372.6,1200.7
3/11/17,0,#N/A,1175.83,#N/A,#N/A
3/12/17,0,#N/A,1221.38,#N/A,#N/A
3/13/17,0,48.4,1231.92,2373.47,1202.4
3/14/17,0,47.72,1240,2365.45,1201.9
3/15/17,0,48.86,1249.61,2385.26,1200.1
3/16/17,0,48.75,1187.81,2381.38,1226.5
3/17/17,0,48.78,1100.23,2378.25,1229.8
3/18/17,0,#N/A,973.82,#N/A,#N/A
3/19/17,0,#N/A,1036.74,#N/A,#N/A
3/20/17,0,48.22,1054.23,2373.47,1233.6
3/21/17,0,47.34,1120.54,2344.02,1246.1
3/22/17,0,48.04,1049.14,2348.45,1249.3
3/23/17,0,47.7,1038.59,2345.96,1246.9
3/24/17,0,47.97,937.52,2343.98,1248.2
3/25/17,0,#N/A,972.78,#N/A,#N/A
3/26/17,0,#N/A,966.72,#N/A,#N/A
3/27/17,0,47.73,1045.77,2341.59,1255.4
3/28/17,0,48.37,1047.15,2358.57,1255.3
3/29/17,0,49.51,1039.97,2361.13,1253.4
3/30/17,0,50.35,1026.43,2368.06,1245
3/31/17,0,50.6,1071.79,2362.72,1247.3
